"","Specimen.Code","Common.Name","Latin.Name","City","Province","Country","Latitude","Longitude","Matrix.PCR.Result","Matrix.PCR.Result.Date","PCRResultDate","week","weekNum"
"279","CWHC.138162.1","Eared Grebe","Podiceps nigricollis","Hardisty","Alberta","Canada",52.675,-111.3037,"Negative ","2017-12-12",2017-12-12,2,19
"280","CWHC.137426.1","Mute Swan","Cygnus olor","Mooretown","Ontario","Canada",42.8526,-82.461955,"Positive ","2017-11-27",2017-11-27,1,17
"281","CWHC.136956.1","Canada Goose","Branta canadensis","Saint-Eustache","Québec","Canada",45.56527778,-73.87638889,"Negative ","2017-11-14",2017-11-14,2,15
"282","CWHC.136065.1","Blue-Winged Teal","Anas discors","","Saskatchewan","Canada",51.701373,-106.51696,"Suspicious ","2017-09-07",2017-09-07,4,5
"283","CWHC.136010.2","Blue Jay","Cyanocitta cristata","Metcalfe","Ontario","Canada",45.2107469,-75.432286,"Negative ","2017-09-11",2017-09-11,1,6
"284","CWHC.136310.1","Common Eider","Somateria mollissima","Sainte-Anne-de-Bellevue","Québec","Canada",45.40305556,-73.95027778,"Negative ","2017-09-19",2017-09-19,2,7
"286","CWHC.136091.1","American Coot","Fulica americana","","Saskatchewan","Canada",51.70114,-106.514567,"Negative ","2017-09-07",2017-09-07,4,5
"287","CWHC.136600.1","Red-Tailed Hawk","Buteo jamaicensis","Digby","Nova Scotia","Canada",44.5973,-65.9492,"Negative ","2017-10-31",2017-10-31,2,13
"288","CWHC.136438.1","Ring-Billed Gull","Larus delawarensis","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"289","CWHC.135702.1","American Crow","Corvus brachyrhynchos","Saskatoon","Saskatchewan","Canada",52.1332144,-106.6700458,"Negative ","2017-08-18",2017-08-18,5,2
"292","CWHC.136746.1","Green-Winged Teal","Anas carolinensis","Jolicure","New Brunswick","Canada",45.935,-64.2572,"Negative ","2018-01-11",2018-01-11,4,23
"293","CWHC.135636.2","Ring-Billed Gull","Larus delawarensis","Sorel","Québec","Canada",46.04833333,-73.11277778,"Negative ","2017-08-09",2017-08-09,3,1
"294","CWHC.135642.1","Great Horned Owl","Bubo virginianus","Zeelandia","Saskatchewan","Canada",51.6161169,-107.7451432,"Negative ","2017-08-18",2017-08-18,5,2
"295","CWHC.135868.1","Merlin","Falco columbarius","Melfort","Saskatchewan","Canada",52.8608387,-104.6142973,"Negative ","2017-08-17",2017-08-17,4,2
"296","CWHC.136016.1","Herring Gull","Larus argentatus","Mississauga","Ontario","Canada",43.589412,-79.601428,"Negative ","2017-08-23",2017-08-23,3,3
"297","CWHC.136460.1","Lesser Scaup","Aythya affinis","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"298","CWHC.138632.2","Canada Goose","Branta canadensis","Ottawa","Ontario","Canada",45.394118,-75.703624,"Negative ","2018-01-18",2018-01-18,4,24
