"","newDates","snips","items","sources","URL"
"20","Thursday, January 24, 2013","NEPAL - The Nepali veterinary authorities have reported four new outbreaks of highly pathogenic avian influenza (HPAI) at various commercial broiler farms located in Gandaki.","Nepal Reports More HPAI H5N1 Outbreaks in Gandaki","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1940"
"21","Tuesday, February 26, 2013","VIET NAM - Authorities in Ho Chi Minh City have ordered local agencies to step up preventive measures against avian flu, which has spread back into Vietnam via Cambodia recently, Dan Tri reported Thursday. ","HCMC Braces for Bird Flu as H5N1 Moves in from Cambodia  ","ThanhNien News.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"22","Tuesday, February 26, 2013","CHINA - China's quarantine authority announced on Monday that it has ordered strengthened prevention against avian influenza H5N1 after the disease infected five people in Cambodia last month.","China Alert for Bird Flu from Cambodia","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"23","Tuesday, February 26, 2013","CAMBODIA - Cambodia reported on Tuesday that a 35-year-old man died of Avian Influenza H5N1, bringing the death toll to eight and the number of cases to nine in 2013, health officials and victim's family said Tuesday.","Cambodia Reports 9th Bird Flu Case, 8th Death So Far This Year","Bernama.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"24","Tuesday, February 26, 2013","MEXICO - Pilgrim's Pride Corporation has identified an increased mortality rate of the breeder flock at the Company's complex located in the state of Guanajuato in central Mexico.","Pilgrim's Pride Takes Affirmative Steps to Protect Breeder Supply","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"25","Friday, February 22, 2013","BANGLADESH - The poultry industry is gradually picking up owing to a drop in frequency of bird flu attacks in farms, industry leaders said yesterday.","Poultry Industry Rebounds as Bird Flu Attacks Recede","The Daily Star","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"26","Friday, February 22, 2013","AUSTRALIA - CSIRO scientists have helped to design a new drug to safeguard against epidemic and pandemic flu strains – as published in ""Science"".","New Drug Developed to Combat Flu Pandemic","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"27","Friday, February 22, 2013","NEPAL - Bird flu outbreaks have killed 70,000 chickens worth Rs 29.4 million since 2008. The country has witnessed 38 outbreaks in the last four years. ","Bird Flu Kills Chickens Worth Rs 29.4 Million ","The Himalayan","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"28","Thursday, February 21, 2013","CAMBODIA - A 2-year-old boy has died of Avian Influenza H5N1, bringing death toll to seven and total cases in Cambodia to eight this year, Xinhua news agency reported.","Cambodia's Bird Flu Toll Hits Seven This Year","Bernama.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"29","Wednesday, February 20, 2013","HONG KONG - Import of all poultry and poultry products, including poultry eggs, from the states of Brandenburg and Berlin of Germany, has been banned with immediate effect for the protection of Hong Kong's public and animal health, the Center for Food Safety (CFS) of the Food and Environmental Hygiene Department announced Tuesday, 19 February.","HK Bans Poultry Products Imports from Germany","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"30","Wednesday, February 20, 2013","GLOBAL - Summary of a report from FAO covering a technical stocktaking of outputs, outcomes, best practices and lessons learned from the fight against highly pathogenic avian influenza in Asia between 2005 and 2011. The lessons learned, which are covered in this article, include those relating to politics, coordination, surveillance, epidemiology, laboratory capacity, biosecurity, socio-economics and communication. 

","Lessons from HPAI","FAO","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"31","Tuesday, February 19, 2013","GERMANY - Low-pathogenic avian influenza of the H5N1 sub-type has been reported on a duck farm in the state of Brandenburg.","Germany Reports Low-Path Bird Flu on Duck Farm","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"32","Tuesday, February 19, 2013","MEXICO - Industrias Bachoco has announced that the Mexican Sanitary Authority SENASICA (Servicio Nacional de Sanidad Inocuidad y Calidad Alimentaria) confirmed the presence of avian influenza H7N3 at some of the Company's farms. All of the affected farms are located in the same region within the State of Guanajuato.","Mexican Sanitary Authorities Confirm Avian Flu","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"33","Monday, February 18, 2013","CHINA - A total of 110 people who had close contact with two patients contracted avian influenza H5N1 in Southwest China's Guizhou province earlier this month have been released from quarantine, local health authorities announced on Sunday, 17 February.","110 Released from Bird Flu Quarantine","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"34","Monday, February 18, 2013","MEXICO - The chief director of SENASICA, Enrique Sanchez Cruz, has been instructed to reinforce diagnostic activities and narrow the movement controls of poultry and products in affected bird flu-affected areas.","SENASICA Strengthens Poultry Surveillance in Guanajuato","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"35","Friday, February 15, 2013","MEXICO - Industrias Bachoco Mexico's leading producer and processor of poultry and other food products, announced that a possible outbreak of avian influenza H7N3 has been detected in five breeder farms located in the state of Guanajuato.","Bachoco Suspicious of Avian Flu in Five Breeder Farms","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"36","Friday, February 15, 2013","NEPAL - The Nepalese veterinary authorities have reported five new outbreaks of highly pathogenic avian influenza at farms located in Mechi and Bagmati.","HPAI Outbreaks in Bagmati and Mechi","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"37","Thursday, February 14, 2013","BANGLADESH - Over 2000 fowls have been culled following detection of bird flu virus at a poultry farm in Islampara area of Chuadanga district town. ","2,000 Fowls Culled in Chuadanga District","The Daily Star","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"38","Wednesday, February 13, 2013","CAMBODIA - Cambodia has reported that another 4-year-old girl has contracted avian flu H5N1, this being the seventh person to be infected by the virus this year.","Cambodia Reports 7th Bird Flu Case This Year","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"39","Wednesday, February 13, 2013","CHINA - A woman in southwestern China died of bird flu on Wednesday, state media said, a rare case in the country of a fatality from the H5N1 virus since a major outbreak a decade ago.","Chinese Woman Dies of Bird Flu","ChannelNewsAsia.com","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"40","Monday, February 11, 2013","CHINA - China on Sunday (10 February) reported two human cases of highly pathogenic avian influenza H5N1 in southwestern city of Guiyang, the Ministry of Health announced.","Two Cases of Human Bird Flu Reported in SW China","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1920"
"41","Thursday, March 21, 2013","NETHERLANDS - Avian Influenza, also known as bird flu, was detected on an organic poultry farm with 24,000 hens in Zeewolde, the Dutch Ministry of Economic Affairs has reported.","Bird Flu Found on Dutch Poultry Farm","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"42","Thursday, March 21, 2013","GLOBAL - With the support of the Food and Agriculture Organization of the United Nations (FAO) and the joint FAO/International Atomic Energy Agency (IAEA) division, the Swiss Institute of Bioinformatics (SIB) initiated the development of a publicly accessible e-learning bioinformatics course on animal viral pathogens.","E-learning Modules on Bioinformatics in Animal Viral Pathogens ","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"43","Thursday, March 21, 2013","CHINA - The first round of sampling of the China component of the Emerging Pandemic Threats Plus (EPT+) Project was successfully completed in January.","Successful Completion of First Round of Sampling","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"44","Tuesday, March 19, 2013","CANADA - A group of lethal bacteria are of increasing concern worldwide because they are becoming resistant to many or all of the antibiotics previously effective against them. Bioradar UK Ltd. has announced in Ottawa that it has discovered that the concentration of genomic Replikins is markedly increased in antibiotic-resistant bacteria. This finding is permitting a new approach to the problem of antibiotic resistance.","Antibiotic-Resistant Bacteria Have High Genomic Replikin Counts","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"45","Friday, March 15, 2013","INDIA - The Bihar government has asked the officials of the Animal Husbandry Department (AHD) to take all preventive measures and keep a close tab on chickens in those areas where bird flu H5N1 type virus had been detected.","6,000 Birds Culled in Bihar After Bird Flu Threat","Deccan Herald","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"46","Thursday, March 14, 2013","NETHERLANDS - The Dutch veterinary authorities have reported an outbreak of low pathogenic avian influenza (Serotype H7N7) at a farm in Gelderland.","Netherlands Reports Outbreak of LPAI in Gelderland","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"47","Thursday, March 14, 2013","GLOBAL - Ceva has confirmed that initial results in Egypt for Vectormune AI are positive, supporting the high hopes that the company has for its ground-breaking vector vaccine for H5 avian influenza.","Ceva Confirms Early Vectormune AI Field Results","CEVA ","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"48","Wednesday, March 13, 2013","CAMBODIA - The Cambodian veterinary authorities have reported a further outbreak of highly pathogenic avian influenza at a poultry farm located in Siem Reap province.","More HPAI Reported in Cambodia's Siem Reap Province","ThePoultrySite News Desk","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"49","Tuesday, March 12, 2013","BANGLADESH - More than 1800 chickens were culled and 400 eggs destroyed following detection of bird flu virus at a poultry farm in Sadar upazila of Rajbari district on Sunday night.","Bird Flu Affected Chickens Culled in Rajbari","The Daily Star","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"50","Tuesday, March 12, 2013","AUSTRALIA - A duck at a property north-east of Perth has been diagnosed with low pathogenic H5 avian influenza.","Bird Flu Found in Perth Duck","WAtoday.com.au","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
"51","Monday, March 11, 2013","INDIA - More than 2,000 chickens were culled and a large quantity of eggs destroyed in Bihar's Purnea district in the last 24 hours following an outbreak of avian flu, officials said Monday.","Over 2000 Chickens Culled in Bihar","The New Indian Express","http://www.thepoultrysite.com/bird-flu/bird-flu-news.php?offset=1900"
