"","weekNum","Rating","Region"
"1",1,1,"BC"
"2",2,1,"BC"
"3",3,1,"BC"
"4",4,1,"BC"
"5",5,1,"BC"
"6",6,1,"BC"
"7",7,2,"BC"
"8",8,1,"BC"
"9",9,3,"BC"
"10",10,3,"BC"
"11",11,2,"BC"
"12",12,2,"BC"
"13",13,3,"BC"
"14",14,3,"BC"
"15",15,3,"BC"
"16",16,3,"BC"
"17",17,3,"BC"
"18",18,3,"BC"
"19",19,3,"BC"
"20",20,3,"BC"
"21",21,3,"BC"
"22",22,3,"BC"
"23",23,3,"BC"
"24",24,3,"BC"
"25",25,3,"BC"
"26",26,3,"BC"
