"","weekNum","Rating","Region"
"1",1,1,"AB"
"2",2,1,"AB"
"3",3,1,"AB"
"4",4,1,"AB"
"5",5,1,"AB"
"6",6,2,"AB"
"7",7,3,"AB"
"8",8,2,"AB"
"9",9,3,"AB"
"10",10,3,"AB"
"11",11,3,"AB"
"12",12,3,"AB"
"13",13,3,"AB"
"14",14,2,"AB"
"15",15,2,"AB"
"16",16,2,"AB"
"17",17,3,"AB"
"18",18,3,"AB"
"19",19,3,"AB"
"20",20,2,"AB"
"21",21,1,"AB"
"22",22,3,"AB"
"23",23,1,"AB"
"24",24,3,"AB"
"25",25,1,"AB"
"26",26,1,"AB"
