"FID_","FID_triang","SP_ID","x","length","Y","N","JT"
,856,"857",857,170.697104,0,1,"WW"
,845,"846",846,330.245807,0,1,"WW"
,845,"846",846,297.558834,0,1,"WW"
,852,"853",853,209.405934,1,1,"BW"
,858,"859",859,31.221180,0,1,"WW"
,861,"862",862,20.516212,0,1,"WW"
,860,"861",861,11.620295,0,1,"WW"
,541,"542",542,59.400220,0,1,"WW"
,859,"860",860,50.259745,0,1,"WW"
,612,"613",613,157.650471,0,1,"WW"
,548,"549",549,288.675962,0,1,"WW"
,575,"576",576,94.734912,0,1,"WW"
,596,"597",597,197.800678,1,1,"BW"
,600,"601",601,179.286869,1,1,"BW"
,599,"600",600,172.614434,1,1,"BW"
,598,"599",599,166.557125,1,1,"BW"
,597,"598",598,157.792727,1,1,"BW"
,578,"579",579,143.201070,1,1,"BW"
,577,"578",578,78.013293,1,1,"BW"
,861,"862",862,116.748073,0,1,"WW"
,542,"543",543,127.569546,0,1,"WW"
,547,"548",548,202.085168,0,1,"WW"
,577,"578",578,5.804795,1,1,"BW"
,576,"577",577,80.713783,0,1,"WW"
,847,"848",848,437.146833,1,1,"BW"
,847,"848",848,153.507974,1,1,"BW"
,524,"525",525,49.680396,1,1,"BW"
,849,"850",850,545.046246,0,1,"WW"
,848,"849",849,459.279986,0,1,"WW"
,525,"526",526,32.924632,1,1,"BW"
,544,"545",545,151.637540,0,1,"WW"
,547,"548",548,314.418312,0,1,"WW"
,546,"547",547,286.096812,0,1,"WW"
,531,"532",532,115.974953,0,1,"WW"
,541,"542",542,156.731286,0,1,"WW"
,540,"541",541,150.596031,0,1,"WW"
,538,"539",539,59.266597,0,1,"WW"
,540,"541",541,147.585159,0,1,"WW"
,543,"544",544,67.446032,0,1,"WW"
,530,"531",531,18.825644,0,1,"WW"
,538,"539",539,63.414032,0,1,"WW"
,865,"866",866,758.469618,0,1,"WW"
,866,"867",867,646.559129,1,1,"BW"
,864,"865",865,570.449633,0,1,"WW"
,526,"527",527,77.523535,0,1,"WW"
,522,"523",523,102.068451,0,1,"WW"
,530,"531",531,64.977904,0,1,"WW"
,529,"530",530,55.919428,0,1,"WW"
,526,"527",527,75.906828,0,1,"WW"
,525,"526",526,97.647527,0,1,"WW"
,524,"525",525,100.121319,1,1,"BW"
,522,"523",523,103.290364,0,1,"WW"
,521,"522",522,62.658853,0,1,"WW"
,545,"546",546,42.593082,0,1,"WW"
,504,"505",505,285.283897,0,1,"WW"
,536,"537",537,79.145207,0,1,"WW"
,539,"540",540,41.956047,0,1,"WW"
,543,"544",544,76.788038,0,1,"WW"
,537,"538",538,69.267016,0,1,"WW"
,521,"522",522,53.558372,0,1,"WW"
,521,"522",522,44.556740,0,1,"WW"
,506,"507",507,140.563628,0,1,"WW"
,511,"512",512,170.819940,0,1,"WW"
,528,"529",529,32.185521,0,1,"WW"
,528,"529",529,55.574413,0,1,"WW"
,529,"530",530,81.377086,0,1,"WW"
,535,"536",536,93.692940,0,1,"WW"
,536,"537",537,39.778143,0,1,"WW"
,502,"503",503,92.844162,0,1,"WW"
,533,"534",534,27.295185,0,1,"WW"
,533,"534",534,90.327446,0,1,"WW"
,496,"497",497,97.076827,0,1,"WW"
,501,"502",502,120.134793,0,1,"WW"
,502,"503",503,85.706091,0,1,"WW"
,504,"505",505,287.163314,0,1,"WW"
,505,"506",506,240.033309,0,1,"WW"
,498,"499",499,123.110023,0,1,"WW"
,501,"502",502,42.593010,0,1,"WW"
,865,"866",866,828.022125,0,1,"WW"
,527,"528",528,133.715044,0,1,"WW"
,523,"524",524,130.702057,0,1,"WW"
,523,"524",524,123.648041,0,1,"WW"
,532,"533",533,135.350316,0,1,"WW"
,497,"498",498,143.085650,0,1,"WW"
,495,"496",496,197.354691,0,1,"WW"
,496,"497",497,131.399127,0,1,"WW"
