"FID_","FID_triang","SP_ID","x","length","Y","N","JT"
,72,"73",73,251.041924,0,1,"WW"
,75,"76",76,117.715872,0,1,"WW"
,120,"121",121,99.081050,0,1,"WW"
,118,"119",119,225.556639,0,1,"WW"
,118,"119",119,306.379978,0,1,"WW"
,135,"136",136,151.035655,1,1,"BW"
,135,"136",136,64.506694,1,1,"BW"
,133,"134",134,81.584745,1,0,"BB"
,47,"48",48,251.357646,0,1,"WW"
,47,"48",48,1039.678788,0,1,"WW"
,125,"126",126,49.804966,1,1,"BW"
,77,"78",78,263.164991,0,1,"WW"
,77,"78",78,27.198287,0,1,"WW"
,125,"126",126,48.036810,0,1,"WW"
,125,"126",126,97.769842,1,1,"BW"
,128,"129",129,27.649868,0,1,"WW"
,50,"51",51,3004.798250,0,1,"WW"
,51,"52",52,2291.225338,0,1,"WW"
,165,"166",166,628.668986,0,1,"WW"
,137,"138",138,359.798544,0,1,"WW"
,133,"134",134,270.411421,1,1,"BW"
,132,"133",133,217.059507,1,1,"BW"
,126,"127",127,187.633918,0,1,"WW"
